date,volume
2019-01-01,
2019-01-02,2140
2019-01-03,1916
2019-01-04,1792
2019-01-05,804
2019-01-06,
2019-01-07,2230
2019-01-08,1791
2019-01-09,1748
2019-01-10,1555
2019-01-11,1487
2019-01-12,748
2019-01-13,
2019-01-14,2117
2019-01-15,1710
2019-01-16,1594
2019-01-17,1438
2019-01-18,1361
2019-01-19,639
2019-01-20,
2019-01-21,2095
2019-01-22,1539
2019-01-23,1587
2019-01-24,1459
2019-01-25,1389
2019-01-26,653
2019-01-27,
2019-01-28,1966
2019-01-29,1534
2019-01-30,1539
2019-01-31,1412
2019-02-01,1368
2019-02-02,651
2019-02-03,
2019-02-04,1872
2019-02-05,1494
2019-02-06,1470
2019-02-07,1478
2019-02-08,1263
2019-02-09,608
2019-02-10,
2019-02-11,1940
2019-02-12,1564
2019-02-13,1433
2019-02-14,1301
2019-02-15,1222
2019-02-16,548
2019-02-17,
2019-02-18,1820
2019-02-19,1564
2019-02-20,1503
2019-02-21,1258
2019-02-22,1231
2019-02-23,567
2019-02-24,
2019-02-25,1729
2019-02-26,1400
2019-02-27,1358
2019-02-28,1169
2019-03-01,1209
2019-03-02,610
2019-03-03,
2019-03-04,1682
2019-03-05,1460
2019-03-06,1386
2019-03-07,1268
2019-03-08,1168
2019-03-09,580
2019-03-10,
2019-03-11,1808
2019-03-12,1436
2019-03-13,1377
2019-03-14,1264
2019-03-15,1195
2019-03-16,585
2019-03-17,
2019-03-18,1842
2019-03-19,1454
2019-03-20,1384
2019-03-21,1287
2019-03-22,1175
2019-03-23,532
2019-03-24,
2019-03-25,1892
2019-03-26,1474
2019-03-27,1360
2019-03-28,1194
2019-03-29,970
2019-03-30,399
2019-03-31,
2019-04-01,1471
2019-04-02,1205
2019-04-03,1158
2019-04-04,1120
2019-04-05,1006
2019-04-06,431
2019-04-07,
2019-04-08,1555
2019-04-09,1253
2019-04-10,1155
2019-04-11,1159
2019-04-12,1176
2019-04-13,2
2019-04-14,
2019-04-15,1900
2019-04-16,1236
2019-04-17,1151
2019-04-18,1007
2019-04-19,11
2019-04-20,348
2019-04-21,
2019-04-22,
2019-04-23,1868
2019-04-24,1289
2019-04-25,1177
2019-04-26,1127
2019-04-27,463
2019-04-28,
2019-04-29,1757
2019-04-30,1182
2019-05-01,
2019-05-02,1445
2019-05-03,1219
2019-05-04,538
2019-05-05,
2019-05-06,1927
2019-05-07,1331
2019-05-08,1255
2019-05-09,1289
2019-05-10,1123
2019-05-11,457
2019-05-12,
2019-05-13,1576
2019-05-14,1249
2019-05-15,1122
2019-05-16,1141
2019-05-17,1017
2019-05-18,338
2019-05-19,
2019-05-20,1460
2019-05-21,1200
2019-05-22,1152
2019-05-23,973
2019-05-24,882
2019-05-25,388
2019-05-26,
2019-05-27,1499
2019-05-28,1146
2019-05-29,1044
2019-05-30,5
2019-05-31,1106
2019-06-01,371
2019-06-02,
2019-06-03,1467
2019-06-04,1177
2019-06-05,1131
2019-06-06,1070
2019-06-07,940
2019-06-08,432
2019-06-09,
2019-06-10,5
2019-06-11,1640
2019-06-12,1270
2019-06-13,1122
2019-06-14,977
2019-06-15,420
2019-06-16,
2019-06-17,1558
2019-06-18,1087
2019-06-19,1018
2019-06-20,521
2019-06-21,1142
2019-06-22,433
2019-06-23,
2019-06-24,1513
2019-06-25,1142
2019-06-26,1135
2019-06-27,1113
2019-06-28,1015
2019-06-29,398
2019-06-30,
2019-07-01,1363
2019-07-02,1223
2019-07-03,1175
2019-07-04,1024
2019-07-05,974
2019-07-06,399
2019-07-07,
2019-07-08,1637
2019-07-09,1288
2019-07-10,1167
2019-07-11,1110
2019-07-12,1063
2019-07-13,454
2019-07-14,
2019-07-15,1585
2019-07-16,1274
2019-07-17,1153
2019-07-18,1094
2019-07-19,1095
2019-07-20,432
2019-07-21,
2019-07-22,1506
2019-07-23,1219
2019-07-24,1047
2019-07-25,970
2019-07-26,911
2019-07-27,422
2019-07-28,
2019-07-29,1514
2019-07-30,1308
2019-07-31,1194
2019-08-01,1019
2019-08-02,947
2019-08-03,442
2019-08-04,
2019-08-05,1594
2019-08-06,1291
2019-08-07,1301
2019-08-08,1155
2019-08-09,1045
2019-08-10,413
2019-08-11,
2019-08-12,1608
2019-08-13,1275
2019-08-14,1286
2019-08-15,1090
2019-08-16,1130
2019-08-17,468
2019-08-18,
2019-08-19,1701
2019-08-20,1343
2019-08-21,1160
2019-08-22,1162
2019-08-23,1110
2019-08-24,457
2019-08-25,
2019-08-26,1506
2019-08-27,1233
2019-08-28,1212
2019-08-29,1216
2019-08-30,1089
2019-08-31,463
2019-09-01,
2019-09-02,1578
2019-09-03,1282
2019-09-04,1203
2019-09-05,1175
2019-09-06,1162
2019-09-07,496
2019-09-08,
2019-09-09,1720
2019-09-10,1368
2019-09-11,1321
2019-09-12,1187
2019-09-13,1073
2019-09-14,439
2019-09-15,
2019-09-16,1468
2019-09-17,1257
2019-09-18,1257
