date,volume
01/01/2019,
02/01/2019,2140
03/01/2019,1916
04/01/2019,1792
05/01/2019,804
06/01/2019,
07/01/2019,2230
08/01/2019,1791
09/01/2019,1748
10/01/2019,1555
11/01/2019,1487
12/01/2019,748
13/01/2019,
14/01/2019,2117
15/01/2019,1710
16/01/2019,1594
17/01/2019,1438
18/01/2019,1361
19/01/2019,639
20/01/2019,
21/01/2019,2095
22/01/2019,1539
23/01/2019,1587
24/01/2019,1459
25/01/2019,1389
26/01/2019,653
27/01/2019,
28/01/2019,1966
29/01/2019,1534
30/01/2019,1539
31/01/2019,1412
01/02/2019,1368
02/02/2019,651
03/02/2019,
04/02/2019,1872
05/02/2019,1494
06/02/2019,1470
07/02/2019,1478
08/02/2019,1263
09/02/2019,608
10/02/2019,
11/02/2019,1940
12/02/2019,1564
13/02/2019,1433
14/02/2019,1301
15/02/2019,1222
16/02/2019,548
17/02/2019,
18/02/2019,1820
19/02/2019,1564
20/02/2019,1503
21/02/2019,1258
22/02/2019,1231
23/02/2019,567
24/02/2019,
25/02/2019,1729
26/02/2019,1400
27/02/2019,1358
28/02/2019,1169
01/03/2019,1209
02/03/2019,610
03/03/2019,
04/03/2019,1682
05/03/2019,1460
06/03/2019,1386
07/03/2019,1268
08/03/2019,1168
09/03/2019,580
10/03/2019,
11/03/2019,1808
12/03/2019,1436
13/03/2019,1377
14/03/2019,1264
15/03/2019,1195
16/03/2019,585
17/03/2019,
18/03/2019,1842
19/03/2019,1454
20/03/2019,1384
21/03/2019,1287
22/03/2019,1175
23/03/2019,532
24/03/2019,
25/03/2019,1892
26/03/2019,1474
27/03/2019,1360
28/03/2019,1194
29/03/2019,970
30/03/2019,399
31/03/2019,
01/04/2019,1471
02/04/2019,1205
03/04/2019,1158
04/04/2019,1120
05/04/2019,1006
06/04/2019,431
07/04/2019,
08/04/2019,1555
09/04/2019,1253
10/04/2019,1155
11/04/2019,1159
12/04/2019,1176
13/04/2019,2
14/04/2019,
15/04/2019,1900
16/04/2019,1236
17/04/2019,1151
18/04/2019,1007
19/04/2019,11
20/04/2019,348
21/04/2019,
22/04/2019,
23/04/2019,1868
24/04/2019,1289
25/04/2019,1177
26/04/2019,1127
27/04/2019,463
28/04/2019,
29/04/2019,1757
30/04/2019,1182
01/05/2019,
02/05/2019,1445
03/05/2019,1219
04/05/2019,538
05/05/2019,
06/05/2019,1927
07/05/2019,1331
08/05/2019,1255
09/05/2019,1289
10/05/2019,1123
11/05/2019,457
12/05/2019,
13/05/2019,1576
14/05/2019,1249
15/05/2019,1122
16/05/2019,1141
17/05/2019,1017
18/05/2019,338
19/05/2019,
20/05/2019,1460
21/05/2019,1200
22/05/2019,1152
23/05/2019,973
24/05/2019,882
25/05/2019,388
26/05/2019,
27/05/2019,1499
28/05/2019,1146
29/05/2019,1044
30/05/2019,5
31/05/2019,1106
01/06/2019,371
02/06/2019,
03/06/2019,1467
04/06/2019,1177
05/06/2019,1131
06/06/2019,1070
07/06/2019,940
08/06/2019,432
09/06/2019,
10/06/2019,5
11/06/2019,1640
12/06/2019,1270
13/06/2019,1122
14/06/2019,977
15/06/2019,420
16/06/2019,
17/06/2019,1558
18/06/2019,1087
19/06/2019,1018
20/06/2019,521
21/06/2019,1142
22/06/2019,433
23/06/2019,
24/06/2019,1513
25/06/2019,1142
26/06/2019,1135
27/06/2019,1113
28/06/2019,1015
29/06/2019,398
30/06/2019,
01/07/2019,1363
02/07/2019,1223
03/07/2019,1175
04/07/2019,1024
05/07/2019,974
06/07/2019,399
07/07/2019,
08/07/2019,1637
09/07/2019,1288
10/07/2019,1167
11/07/2019,1110
12/07/2019,1063
13/07/2019,454
14/07/2019,
15/07/2019,1585
16/07/2019,1274
17/07/2019,1153
18/07/2019,1094
19/07/2019,1095
20/07/2019,432
21/07/2019,
22/07/2019,1506
23/07/2019,1219
24/07/2019,1047
25/07/2019,970
26/07/2019,911
27/07/2019,422
28/07/2019,
29/07/2019,1514
30/07/2019,1308
31/07/2019,1194
01/08/2019,1019
02/08/2019,947
03/08/2019,442
04/08/2019,
05/08/2019,1594
06/08/2019,1291
07/08/2019,1301
08/08/2019,1155
09/08/2019,1045
10/08/2019,413
11/08/2019,
12/08/2019,1608
13/08/2019,1275
14/08/2019,1286
15/08/2019,1090
16/08/2019,1130
17/08/2019,468
18/08/2019,
19/08/2019,1701
20/08/2019,1343
21/08/2019,1160
22/08/2019,1162
23/08/2019,1110
24/08/2019,457
25/08/2019,
26/08/2019,1506
27/08/2019,1233
28/08/2019,1212
29/08/2019,1216
30/08/2019,1089
31/08/2019,463
01/09/2019,
02/09/2019,1578
03/09/2019,1282
04/09/2019,1203
05/09/2019,1175
06/09/2019,1162
07/09/2019,496
08/09/2019,
09/09/2019,1720
10/09/2019,1368
11/09/2019,1321
12/09/2019,1187
13/09/2019,1073
14/09/2019,439
15/09/2019,
16/09/2019,1468
17/09/2019,1257
18/09/2019,1257
19/09/2019,763
20/09/2019,1086
21/09/2019,452
22/09/2019,
23/09/2019,1601
24/09/2019,1253
25/09/2019,1201
26/09/2019,1149
27/09/2019,1064
28/09/2019,474
29/09/2019,
30/09/2019,1527
01/10/2019,1179
02/10/2019,1111
03/10/2019,94
04/10/2019,1343
05/10/2019,508
06/10/2019,
07/10/2019,1606
08/10/2019,1252
09/10/2019,1230
10/10/2019,1116
11/10/2019,1094
12/10/2019,423
13/10/2019,
14/10/2019,1345
15/10/2019,1143
16/10/2019,1204
17/10/2019,1152
18/10/2019,1047
19/10/2019,486
20/10/2019,
21/10/2019,1583
22/10/2019,1235
23/10/2019,1181
24/10/2019,1131
25/10/2019,1103
26/10/2019,403
27/10/2019,
28/10/2019,1572
29/10/2019,1264
30/10/2019,1177
31/10/2019,897
01/11/2019,596
02/11/2019,542
03/11/2019,
04/11/2019,1681
05/11/2019,1261
06/11/2019,1278
07/11/2019,1159
08/11/2019,1120
09/11/2019,515
10/11/2019,
11/11/2019,1657
12/11/2019,1301
13/11/2019,1308
14/11/2019,1231
15/11/2019,1056
16/11/2019,488
17/11/2019,
18/11/2019,1730
19/11/2019,1272
20/11/2019,1344
21/11/2019,1254
22/11/2019,1230
23/11/2019,544
24/11/2019,
25/11/2019,1765
26/11/2019,1361
27/11/2019,1464
28/11/2019,1319
29/11/2019,1572
30/11/2019,623
01/12/2019,
02/12/2019,1983
03/12/2019,1583
04/12/2019,1563
05/12/2019,1377
06/12/2019,1204
07/12/2019,580
08/12/2019,
09/12/2019,2038
10/12/2019,1491
11/12/2019,1439
12/12/2019,1312
13/12/2019,1199
14/12/2019,539
15/12/2019,
16/12/2019,1706
17/12/2019,1340
18/12/2019,1302
19/12/2019,1155
20/12/2019,1096
21/12/2019,508
22/12/2019,
23/12/2019,1133
24/12/2019,199
25/12/2019,
26/12/2019,
27/12/2019,1490
28/12/2019,606
29/12/2019,
30/12/2019,1469
31/12/2019,376
01/01/2020,
02/01/2020,1741
03/01/2020,1447
04/01/2020,706
05/01/2020,
06/01/2020,1454
07/01/2020,1666
08/01/2020,1667
09/01/2020,1701
10/01/2020,1374
11/01/2020,592
12/01/2020,
13/01/2020,1892
14/01/2020,1473
15/01/2020,1452
16/01/2020,1187
17/01/2020,1178
18/01/2020,586
19/01/2020,
20/01/2020,1836
21/01/2020,1315
22/01/2020,1366
23/01/2020,1230
24/01/2020,1166
25/01/2020,549
26/01/2020,
27/01/2020,1780
28/01/2020,1386
29/01/2020,1236
30/01/2020,1126
31/01/2020,1066
01/02/2020,530
02/02/2020,
03/02/2020,1708
04/02/2020,1340
05/02/2020,1203
06/02/2020,1169
07/02/2020,1019
08/02/2020,533
09/02/2020,
10/02/2020,1645
11/02/2020,1275
12/02/2020,1279
13/02/2020,1070
14/02/2020,1044
15/02/2020,442
16/02/2020,
17/02/2020,1565
18/02/2020,1259
19/02/2020,1185
20/02/2020,1028
21/02/2020,1017
22/02/2020,438
23/02/2020,
24/02/2020,1376
25/02/2020,1246
26/02/2020,1238
27/02/2020,1110
28/02/2020,962
29/02/2020,480
01/03/2020,
02/03/2020,1672
03/03/2020,1252
04/03/2020,1174
05/03/2020,1170
06/03/2020,1093
07/03/2020,518
08/03/2020,
09/03/2020,1499
10/03/2020,1231
11/03/2020,1129
12/03/2020,1050
13/03/2020,871
14/03/2020,396
15/03/2020,
16/03/2020,1104
17/03/2020,916
18/03/2020,890
19/03/2020,896
20/03/2020,889
21/03/2020,483
22/03/2020,
23/03/2020,1558
24/03/2020,1189
25/03/2020,1181
26/03/2020,1249
27/03/2020,1016
28/03/2020,
29/03/2020,
30/03/2020,1910
31/03/2020,1326
01/04/2020,1250
02/04/2020,1294
03/04/2020,1164
04/04/2020,
05/04/2020,
06/04/2020,1724
07/04/2020,1276
08/04/2020,1142
09/04/2020,1109
10/04/2020,
11/04/2020,
12/04/2020,
13/04/2020,
14/04/2020,2500
15/04/2020,1605
16/04/2020,1378
17/04/2020,1291
18/04/2020,
19/04/2020,
20/04/2020,2132
21/04/2020,1470
22/04/2020,1418
23/04/2020,1267
24/04/2020,1269
25/04/2020,552
26/04/2020,
27/04/2020,1784
28/04/2020,1451
29/04/2020,1453
30/04/2020,1313
01/05/2020,
02/05/2020,874
03/05/2020,
04/05/2020,2173
05/05/2020,1486
06/05/2020,1274
07/05/2020,1196
08/05/2020,1173
09/05/2020,517
10/05/2020,
11/05/2020,1763
12/05/2020,1441
13/05/2020,1387
14/05/2020,1397
15/05/2020,1293
16/05/2020,590
17/05/2020,
18/05/2020,1698
19/05/2020,1321
20/05/2020,1246
21/05/2020,
22/05/2020,1333
23/05/2020,628
24/05/2020,
25/05/2020,1900
26/05/2020,1475
27/05/2020,1302
28/05/2020,1350
29/05/2020,1261
30/05/2020,544
31/05/2020,
01/06/2020,
02/06/2020,1728
03/06/2020,1368
04/06/2020,1481
05/06/2020,1414
06/06/2020,652
07/06/2020,
08/06/2020,1987
09/06/2020,1374
10/06/2020,1335
11/06/2020,599
12/06/2020,1304
13/06/2020,449
14/06/2020,
15/06/2020,1839
16/06/2020,1454
17/06/2020,1348
18/06/2020,1323
19/06/2020,1198
20/06/2020,539
21/06/2020,
22/06/2020,1646
23/06/2020,1251
24/06/2020,1217
25/06/2020,1255
26/06/2020,1051
27/06/2020,470
28/06/2020,
29/06/2020,1792
30/06/2020,1375
01/07/2020,1340
02/07/2020,1251
03/07/2020,1207
04/07/2020,476
05/07/2020,
06/07/2020,1832
07/07/2020,1380
08/07/2020,1380
09/07/2020,1277
10/07/2020,1102
11/07/2020,457
12/07/2020,
13/07/2020,1557
14/07/2020,1410
15/07/2020,1340
16/07/2020,1311
17/07/2020,1121
18/07/2020,443
19/07/2020,
20/07/2020,1666
21/07/2020,1390
22/07/2020,1340
23/07/2020,1209
24/07/2020,1192
25/07/2020,494
26/07/2020,
27/07/2020,1811
28/07/2020,1227
29/07/2020,1324
30/07/2020,1167
31/07/2020,941
